,GO.ID,Term,KS
1,GO:0048468,cell development,0.0049
2,GO:0043434,response to peptide hormone,0.0099
3,GO:0071375,cellular response to peptide hormone sti...,0.0099
4,GO:1901653,cellular response to peptide,0.0099
5,GO:0051347,positive regulation of transferase activ...,0.0155
6,GO:0031401,positive regulation of protein modificat...,0.0167
7,GO:0080134,regulation of response to stress,0.019
8,GO:0030182,neuron differentiation,0.0198
9,GO:0008286,insulin receptor signaling pathway,0.0217
10,GO:0032868,response to insulin,0.0217
11,GO:0032869,cellular response to insulin stimulus,0.0217
12,GO:0048731,system development,0.0221
13,GO:0038179,neurotrophin signaling pathway,0.0226
14,GO:0048011,neurotrophin TRK receptor signaling path...,0.0226
15,GO:0030154,cell differentiation,0.0233
16,GO:0032989,cellular component morphogenesis,0.0254
17,GO:0007275,multicellular organismal development,0.0278
18,GO:0040013,negative regulation of locomotion,0.0325
19,GO:0031175,neuron projection development,0.0337
20,GO:0048666,neuron development,0.0337
21,GO:0034446,substrate adhesion-dependent cell spread...,0.0351
22,GO:0046777,protein autophosphorylation,0.0351
23,GO:0055114,oxidation-reduction process,0.0357
24,GO:0007169,transmembrane receptor protein tyrosine ...,0.0372
25,GO:0070848,response to growth factor,0.0372
